ImageNumber,"Total
 Cell Count","Pl
 Cell Count","Pib
 Cell Count","Sl
 Cell Count","p(Enriched)
PL","p(Enriched)
PIB","p(Enriched)
SL","Enriched Score
PL","Enriched Score
PIB","Enriched Score
SL","Training Total
 Cell Count","Training Pl
 Cell Count","Training Pib
 Cell Count","Training Sl
 Cell Count"
1,757,366,83,308,0.4929096472223631,0.7966780152446391,0.34427905849791846,-0.012318030076033992,0.5930984922663886,-0.2798084471528089,0,0,0,0
2,968,488,169,311,0.6123142075218257,0.9843545665152033,0.04180530010005529,0.19849445077585567,1.7987639598104204,-1.360222418928136,4,1,3,0
3,859,437,33,389,0.6364359346918126,0.10979830769982989,0.6061382784908836,0.2431737419886087,-0.9088927690857006,0.18722793638311663,0,0,0,0
4,915,458,47,410,0.5915038914746572,0.22584166082530352,0.5796352286739019,0.16076968252583437,-0.5350257374131433,0.13952846002681443,3,1,0,2
5,963,504,79,380,0.7149851230375807,0.5675396288853232,0.27582704774081107,0.399429475836118,0.11804987519728641,-0.419205448890192,2,0,1,1
6,953,563,45,345,0.9413409424440808,0.1831875810753617,0.13774649502511097,1.205411867072173,-0.6492263042070232,-0.796554411413957,0,0,0,0
7,985,501,80,404,0.6375945016810489,0.5590456971576103,0.3585234451613604,0.24534978519615824,0.10305372434510679,-0.25266322704440436,2,0,1,1
8,947,521,134,292,0.8318924629598665,0.9362554862331841,0.026567763231520443,0.6944800042473109,1.1669515628366824,-1.5639507322722188,1,1,0,0
9,903,413,84,406,0.3443799135886514,0.6738534201711704,0.5882651946394641,-0.2796144379772223,0.31515260838270864,0.15495557267751303,1,0,0,1
10,860,422,42,396,0.5345982000959272,0.20173403848860647,0.6481342487015841,0.06019943367202424,-0.597368428418837,0.26528797401721516,3,2,0,1
11,847,418,25,404,0.5507164130297657,0.05374537159516007,0.7322244812167311,0.0884074665466667,-1.24566694683166,0.436873375626358,0,0,0,0
12,965,451,99,415,0.3991067886924604,0.7533849100372239,0.47404591550616615,-0.17770818245383357,0.4849972704081278,-0.045127423193509875,3,1,1,1
13,968,488,169,311,0.6123142075218257,0.9843545665152033,0.04180530010005529,0.19849445077585567,1.7987639598104204,-1.360222418928136,0,0,0,0
14,869,425,73,371,0.5251977540796507,0.5871383963712988,0.4560421280971661,0.043810095636684476,0.152935987220032,-0.07656030242420037,0,0,0,0
15,1010,385,112,513,0.06069202465553511,0.8106645791452194,0.8612744814933524,-1.1896763842204745,0.6316093282017576,0.7929852230663517,2,1,0,1
16,766,379,44,343,0.5573931554687854,0.2951207785896359,0.5764688956420786,0.1001435058429263,-0.37811492054637896,0.13389056850254397,1,1,0,0
17,765,414,60,291,0.7913825511816559,0.5283155465553313,0.21434082647970593,0.5790358403681207,0.04924182841888314,-0.564129284802183,0,0,0,0
18,757,366,83,308,0.4929096472223631,0.7966780152446391,0.34427905849791846,-0.012318030076033992,0.5930984922663886,-0.2798084471528089,0,0,0,0
19,888,488,61,339,0.8281335405719725,0.4199438628007006,0.21665170833586853,0.6829092442506044,-0.14027878742394126,-0.5581927827776785,0,0,0,0
20,826,404,72,350,0.5252759263245412,0.6180473623157944,0.43774261443942214,0.04394624157971189,0.20901224377636182,-0.10871634140911235,0,0,0,0
21,918,493,32,393,0.7781506959826816,0.08282082916772485,0.4627168485190049,0.5450056396319872,-1.0443146091645892,-0.06488790847032527,0,0,0,0
22,903,417,62,424,0.36859452298458517,0.41942658539609906,0.6967038384858918,-0.23375946711587517,-0.1412011901029035,0.36118128932626503,1,1,0,0
23,711,280,33,398,0.0954949903337187,0.18400729832323107,0.9630262204937267,-0.9764303874768774,-0.6468512255246612,1.4157442649312333,0,0,0,0
24,856,387,26,443,0.31730733113641507,0.05794650629866128,0.8865992912538554,-0.3327451329303356,-1.2110483078568985,0.8931116109149442,1,0,0,1
25,941,453,81,407,0.4805516012306379,0.6087276260085553,0.48866304058887944,-0.0338023831803797,0.19194382650010033,-0.01969769168920843,0,0,0,0
26,883,379,54,450,0.208059273744425,0.3338218425828705,0.8637702993833214,-0.580505599321436,-0.3000756390173854,0.8021264646149289,1,0,0,1
27,909,411,66,432,0.3165171537744167,0.4643077871927423,0.7252885850351979,-0.3343303675391318,-0.062109365665281024,0.42163413651902376,0,0,0,0
28,886,292,76,518,0.0100664970511609,0.6051567985533265,0.9860052715585509,-1.992727651953793,0.18544325210133816,1.847914761167002,2,0,0,2
